"id","name","city","state","zip","holeCount","rating","latitude","longitude"
"major-creek-crossing","Major Creek Crossing","Montgomery ","Alabama","36109",10,1,32.3898033,-86.3947661
"mastin-lake","Mastin Lake","Huntsville ","Alabama","35810",18,3,34.7712563,-86.6159514
"mcfarland-park-disc-golf","McFarland Park Disc Golf","Florence ","Alabama","35630",18,4,34.7838951,-87.684
"mirabeau-apartments","Mirabeau Apartments","Huntsville ","Alabama","35805",9,,34.71293,-86.59579769999999
"monte-sano-state-park","Monte Sano State Park","Huntsville ","Alabama","35801",18,4,34.7399425,-86.5118155
"mrag-disc-golf-course","MRAG Disc Golf Course","Mobile ","Alabama","36618",18,,30.6986962,-88.184456
"municipal-red","Municipal Red Disc Golf Course","Mobile ","Alabama","36608",18,,30.6986962,-88.184456
"new-hope-city-park-disc-golf-course","New Hope City Park Disc Golf Course","New Hope ","Alabama","35760",18,,34.3206801,-86.4811659
"north-jasper-park","North Jasper Park","Jasper ","Alabama","35503",18,,33.88268559999999,-87.2896616
"ol-colony-disc-golf-course","Ol' Colony Disc Golf Course","Tuscaloosa ","Alabama","35406",18,,33.2568198,-87.5373611
"oliver-park-disc-golf-course","Oliver Park Disc Golf Course","Calera ","Alabama","35040",18,,33.0947617,-86.7659345
"oscar-johnson-park","Oscar Johnson Park","Silverhill ","Alabama","36576",5,,30.5461693,-87.7363276
"osprey-disc-golf-course","Osprey Disc Golf Course","Orange Beach ","Alabama","36561",9,3,30.2941192,-87.5485099
"palmore-park","Palmore Park","Tuscaloosa ","Alabama","35401",18,,33.1792309,-87.6054429
"patriot-hills-0","Patriot Hills","Somerville ","Alabama","35670",10,,34.4731491,-86.79861199999999
"graham-creek-pecan-hollow","Pecan Hollow at Graham Creek Nature Preserve","Foley ","Alabama","36542",18,5,30.347877,-87.63255219999999
"pinson-bicentennial-park","Pinson Bicentennial Park","Pinson ","Alabama","35126al",18,,33.68376,-86.68419399999999
"quail-creek-one-disc-golf-course","Quail Creek One Disc Golf Course","Hartselle ","Alabama","35640",18,,34.38677610000001,-86.8659449
"rainbow-city-disc-golf-course","Rainbow City Disc Golf Course","Rainbow City ","Alabama","35906",18,4,33.9384231,-86.0731048
"redstone-arsenal","Redstone Arsenal","Huntsville ","Alabama","35808",21,4,34.6950842,-86.65103289999999
"revelation-mountain","Revelation Mountain","Pell City ","Alabama","35125",18,,33.6288538,-86.2767995
"semmes-middle-school","Semmes Middle School","Semmes ","Alabama","36575",9,,30.7860988,-88.2912727
"shocco-springs","Shocco Springs","Talladega ","Alabama","35160",9,,33.4560905,-86.1388557
"smiths-station-disc-golf-course","Smiths Station Disc Golf Course","Smiths Station ","Alabama","36877",18,,32.5219258,-85.11781049999999
"southside-park-0","Southside Park","Huntsville ","Alabama","35803",18,,34.5998105,-86.545931
"sparkman-park-lakeside","Sparkman Park - Lakeside","Hartselle ","Alabama","35640",18,,34.427332,-86.9358091
"sparkman-park","Sparkman Park - Original","Hartselle ","Alabama","35640",18,2,34.4276961,-86.9354237
"sportsplex","Sportsplex","Athens ","Alabama","35611",19,4,34.8144585,-86.94112799999999
"spring-hill-college-disc-golf-course","Spring Hill College Disc Golf Course","Mobile ","Alabama","36608",18,,30.6915278,-88.13767899999999
"spring-street-disc-golf-course","Spring Street Disc Golf Course","Adamsville ","Alabama","35005",9,,33.5973369,-86.95887139999999
"springhill-hobbit-disc-golf-course","Springhill Hobbit Disc Golf Course","Mobile ","Alabama","36607",18,1,30.6986962,-88.184456
"stapleton-school-disc-golf-course","Stapleton School Disc Golf Course","Stapleton ","Alabama","36578",9,,30.6488356,-87.9027959
"steele-creek","Steele Creek","Satsuma ","Alabama","36572",9,,30.86277939999999,-88.0666769
"taylor-disc-golf-course","Taylor Disc Golf Course"," Taylor ","Alabama","36301",9,,31.1605999,-85.4685021
"admiral","The Admiral","Semmes ","Alabama","36575",18,,30.7515927,-88.2351695
"eagle-disc-golf-course","The Eagle Disc Golf Course","Jasper ","Alabama","35504",18,,33.852593,-87.2614962
"hangar","The Hangar at Robert Cardinal Park","Tuscaloosa ","Alabama","35473",18,,33.2235187,-87.61172529999999
"eastgate-park","The Oaks at Eastgate Park","Ashford ","Alabama","36312",18,,31.1605265,-85.32029949999999
"outback","The Outback at Central Park Baptist","Decatur ","Alabama","35601",9,,34.5815254,-87.0202958
"prairie-graham-creek-nature-preserve","The Prairie at Graham Creek Nature Preserve","Foley ","Alabama","36535",18,5,30.3485203,-87.6177439
"preserve-graham-creek-nature-preserve","The Preserve at Graham Creek Nature Preserve","Foley ","Alabama","36535",18,5,30.347877,-87.63255219999999
"ridge","The Ridge","Springville ","Alabama","35146",18,,33.8129309,-86.4973193
"river-course","The River Course","Phenix City ","Alabama","36867",18,3,32.4706839,-84.9988778
"tiger-trail-u-w-alabama","The Tiger Trail at U of W. Alabama","Livingston ","Alabama","35470",18,,32.5950799,-88.1845254
"tumble-tree-disc-golf-course","Tumble Tree Disc Golf Course","Opelika ","Alabama","36801",18,4,32.6751084,-85.3495045
"univ-ala-huntsville-uah","Univ. of Ala. Huntsville (UAH)","Huntsville ","Alabama","35805",18,,34.7251308,-86.63989509999999
"university-mobile-disc-golf-course","University of Mobile Disc Golf Course","Eight Mile ","Alabama","36613",18,,30.7937662,-88.13197749999999
"university-montevallo","University of Montevallo","Montevallo ","Alabama","35115",18,,33.1067187,-86.86541679999999
"university-south-alabama","University of South Alabama","Mobile ","Alabama","36608",18,,30.6959406,-88.184236
"valley-disc-golf-course-0","Valley Junior High Disc Golf Course","Jasper ","Alabama","35504",12,,33.8266058,-87.1776186
"veterans-park-dgc-2","Veterans Park DGC","Alabaster ","Alabama","35007",18,,33.1865441,-86.82815710000001
"wallace-state-community-college","Wallace State Community College","Hanceville ","Alabama","35057",18,,34.059845,-86.7695439
"warhawk","Warhawk at Calhoun Community College","Tanner ","Alabama","35609",18,,34.647351,-86.94927799999999
"aantiyeik-park","Aant'iyeik Park","Juneau ","Alaska","99801",18,,58.3820892,-134.7361229
"alcantra-disc-golf-big-su","Alcantra Disc Golf - Big Su","Wasilla ","Alaska","99654",20,,61.612419,-149.3874267
"alcantra","Alcantra Disc Golf - Little Su","Wasilla ","Alaska","99654",9,4,61.612419,-149.3874267
"birch-hill-disc-golf-course","Birch Hill Disc Golf Course","Fairbanks ","Alaska","99707",18,,64.8700878,-147.6473769
"birch-ridge-disc-golf-course","Birch Ridge Disc Golf Course","Soldotna ","Alaska","99669",18,,60.4985515,-151.0043874
"buoy-dunes","Buoy Dunes","St. Paul ","Alaska","99660",9,,57.18923539999999,-170.2903157
"davis-park-0","Davis Park","Anchorage ","Alaska","99501",9,,61.2264053,-149.7879477
"eagle-river-high-school-disc-golf-course","Eagle River High School Disc Golf Course","Eagle River ","Alaska","99577",9,4,61.2979881,-149.5722847
"eureka-disc-golf-univeristy-alaska-se","Eureka Disc Golf at Univeristy of Alaska SE"," Juneau ","Alaska","99801",9,,58.3826502,-134.7356895
"girdwood-forest-fair-park","Girdwood Forest Fair Park","Girdwood ","Alaska","99587",36,4,60.96108899999999,-149.1377219
"glacier-point","Glacier Point","Glacier Point ","Alaska","99827",18,,59.1025,-135.3822222
"glass-park","Glass Park at Fort Wainwright","Fairbanks ","Alaska","99703",18,,64.8366803,-147.686282
"hanshew-middle-school","Hanshew Middle School","Anchorage ","Alaska","99507",9,2,61.13046050000001,-149.8308
"hilltop-ski-area","Hilltop Ski Area","Anchorage ","Alaska","99507",18,5,61.140846,-149.7449609
"hilltop-yellow-short-9","Hilltop Yellow Short 9","Anchorage ","Alaska","99507",9,5,61.140846,-149.7449609
"jack-gist-park","Jack Gist Park","Homer ","Alaska","99603",9,4,59.6605508,-151.4824113
"kenai-eagle-disc-golf-course","Kenai Eagle Disc Golf Course","Kenai ","Alaska","99611",18,,60.558502,-151.202493
"kincaid-park-disc-golf-course","Kincaid Park Disc Golf Course","Anchorage ","Alaska","99502",18,4,61.15373589999999,-150.0557508
"king-salmon-park","King Salmon Park","King Salmon ","Alaska","99613",9,,58.6828474,-156.6687261
"mountain-disc-golf-course-alyeska-resort","Mountain Disc Golf Course at Alyeska Resort","Girdwood ","Alaska","99587",9,,60.9704373,-149.0985114
"nikiski-recreation-center","Nikiski Recreation Center Disc Golf Course","Nikiski ","Alaska","99611",18,,60.7050036,-151.3809706
"north-point-higgins","North Point Higgins","Ketchikan ","Alaska","99901",18,,55.47142359999999,-131.8111709
"palmer-high-school","Palmer High School","Palmer ","Alaska","99645",9,,61.6052401,-149.1374614
"peters-creek-disc-golf-course","Peters Creek Disc Golf Course","Chugiak ","Alaska","99567",18,4,61.4042427,-149.4561296
"ravens-bowl","Raven's Bowl","Haines ","Alaska","99827",18,,59.2345692,-135.443448
"reservoir-course","Reservoir Course","Cordova ","Alaska","99574",9,,60.5324046,-145.7542821
"tsalteshi-trails","River City Disc Golf Course on Tsalteshi Trails","Soldotna ","Alaska","99669",19,,60.47244190000001,-151.1006746
"bernie-huss-memorial-trails","Ryan Creek Disc Golf Course","Kenai ","Alaska","99611",9,,60.55840359999999,-151.2039566
"schroeder-park-disc-golf-course","Schroeder Park Disc Golf Course","Eagle River ","Alaska","99577",9,2,61.33268630000001,-149.5748368
"service-high-school","Service High School","Anchorage ","Alaska","99507",9,3,61.1381933,-149.7812832
"seven-pastures","Seven Pastures","Skagway ","Alaska","99840",18,,59.4669676,-135.3072326
"seward-middle-school","Seward Middle School","Seward ","Alaska","99664",9,,60.1316122,-149.4416854
"soldotna-high-school","Soldotna High School","Soldotna ","Alaska","99669",9,,60.4938,-151.096
"sutton-dgc","Sutton Elementary Disc Golf Course","Sutton ","Alaska","99674",9,,61.7158829,-148.8789561
"moose-pretzel","The Moose Pretzel","Homer ","Alaska","99603",18,5,59.64250000000001,-151.5483333
"uaf-university-alaska-fairbanks","UAF Blue Disc Golf Course","Fairbanks ","Alaska","99709",9,,64.859408,-147.8592187
"uaf-gold","UAF Gold Disc Golf Course","Fairbanks ","Alaska","99709",18,4,64.859408,-147.8592187
"westchester-lagoon-park","Westchester Lagoon Park","Anchorage ","Alaska","99503",9,2,61.20353489999999,-149.9040875
"av-anderson-park-disc-golf-course","A.V. Anderson Park Disc Golf Course","Sierra Vista ","Arizona","85635",18,3,31.5412385,-110.2907771
"arizona-snowbowl","Arizona Snowbowl","Flagstaff ","Arizona","86001",18,4,35.330886,-111.7103
"blanchard-discgolfcourse","Blanchard Disc Golf Course","Tucson ","Arizona","85707",18,,32.2170333,-110.8630447
"buffalo-ridge-park","Buffalo Ridge Park","Phoenix ","Arizona","85022",27,4,33.6598173,-112.0459342
"cactus-flats","Cactus Flats","Kingman ","Arizona","86409",18,,35.2706305,-114.030317
"canyon-trails-dgc","Canyon Trails Disc Golf Course","Goodyear ","Arizona","85338",9,,33.4426864,-112.4187396
"casa-grande-disc-golf-course-college-park","Casa Grande Disc Golf Course - College Park","Casa Grande ","Arizona","85122",9,,32.9025874,-111.7519862
"cerbat-cliffs-golf-course","Cerbat Cliffs Golf Course","Kingman ","Arizona","86401",18,,35.2066415,-114.0422698
"coldwater-ranch","Coldwater Ranch","Peoria ","Arizona","85383",18,,33.7232694,-112.3203651
"conocido-park","Conocido Park","Phoenix ","Arizona","85053",18,3,33.6321135,-112.1330108
"copper-sky","Copper Sky","Maricopa ","Arizona","85139",18,,33.0409719,-112.0433987
"deer-creek-canyon","Deer Creek Canyon at Haulapai Mountain","Kingman ","Arizona","86401",9,,35.185542,-114.0053991
"emerald-park","Emerald Park","Mesa ","Arizona","85204",9,3,33.3880812,-111.7956089
"emmanuel-pines-camp","Emmanuel Pines Camp","Prescott ","Arizona","86305",18,,34.569242,-112.536662
"firefighters-memorial-park","Firefighters Memorial Park","Kingman ","Arizona","86401",9,,35.2153881,-114.030323
"fort-tuthill-disc-golf-course","Fort Tuthill Disc Golf Course","Flagstaff ","Arizona","86005",18,5,35.1395689,-111.6936545
"fountain-hills-disc-golf-course","Fountain Hills Disc Golf Course","Fountain Hills ","Arizona","85268",19,4,33.602362,-111.709004
"four-seasons-disc-golf-course","Four Seasons Disc Golf Course","Snowflake ","Arizona","85937",18,4,34.5099828,-110.121387
"stripe-show-golf-club","Freedom Disc Golf at Stripe Show Golf Club","Mesa ","Arizona","85210",18,,33.3888829,-111.8519247
"freestone-park","Freestone Park","Gilbert  ","Arizona","85234",9,,33.3587464,-111.7684971
"golf-club-oasis","Golf Club at Oasis","Florence ","Arizona","85132",9,,33.0995322,-111.4927855
"grand-canyon-caverns-inn-disc-golf-course","Grand Canyon Caverns Inn Disc Golf Course","Peach Springs  ","Arizona","86434",9,1,35.5290514,-113.4274531
"grand-island-disc-golf-course","Grand Island Disc Golf Course","Lake Havasu ","Arizona","86403",9,2,34.4572514,-114.3636753
"greens-park-disc-golf-course","Greens Park Disc Golf Course","San Tan Valley ","Arizona","85143",9,,33.155263,-111.550865
"groves-park","Groves Park","Tucson ","Arizona","85730",9,4,32.1713461,-110.8330652
"hidden-cove-disc-golf-course","Hidden Cove Disc Golf Course","Holbrook ","Arizona","86025",18,,34.919636,-110.1942099
"ironside-bluffs","Ironside Bluffs","Show Low ","Arizona","85901",18,5,34.2542084,-110.0298327
"los-olivos","Los Olivos","Phoenix ","Arizona","85016",9,3,33.4971419,-112.0200925
"marana-rock-disc-golf-course","Marana Rock Disc Golf Course","Marana ","Arizona","85743",6,4,32.39026670000001,-111.1349337
"marbella-vineyards","Marbella Vineyards","Gilbert ","Arizona","85298",9,3,33.240899,-111.7160052
"maricopa-meadows","Maricopa Meadows","Maricopa ","Arizona","85138",27,,33.0546417,-112.0572357
"mckellips-lake","McKellips Lake","Scottsdale ","Arizona","85257",3,,33.4529018,-111.9129381
"mcpherson-park","McPherson Park","Flagstaff ","Arizona","86001",18,3,35.2143793,-111.6384045
"meadview","Meadview","Meadview ","Arizona","86444",9,2,36.002155,-114.0684841
"mesquite-grove-disc-golf-course","Mesquite Grove Disc Golf Course","Chandler ","Arizona","85249",9,2,33.2494817,-111.8266903
"mohave-valley-community-park-disc-golf-course","Mohave Valley Community Park Disc Golf Course","Mohave Valley ","Arizona","86440",9,,34.8897227,-114.5668446
"mountain-bridge-community-course","Mountain Bridge Community Course","Mesa ","Arizona","85207",9,,33.4482554,-111.6410524
"mountain-meadow-ranch","Mountain Meadow Ranch","Payson ","Arizona","85541",18,,34.3316392,-111.0107566
"mountainview-mcc","Mountainview at MCC","Bullhead City ","Arizona","86442",9,5,35.062561,-114.5848312
"northern-arizona-university-disc-golf-course","Northern Arizona University Disc Golf Course","Flagstaff ","Arizona","86001",18,,35.1755585,-111.6589713
"page-disc-golf","Page Disc Golf","Page ","Arizona","86040",9,,36.9081932,-111.4612961
"moeur-park","Papago Disc Golf Course at Moeur Park","Phoenix (Tempe) ","Arizona","85282",18,4,33.4375762,-111.9432553
"paseo-vista-recreation-area","Paseo Vista Recreation Area","Chandler ","Arizona","85286",18,3,33.2498925,-111.8265268
"ponderosa-park","Ponderosa Park","Prescott ","Arizona","86303",18,4,34.4712085,-112.4933047
"queen-creek-disc-golf","Queen Creek Disc Golf","Queen Creek ","Arizona","85142",7,,33.2643561,-111.669271
"red-mountain-north","Red Mountain - North","Mesa, ","Arizona","85207",18,3,33.4748092,-111.677858
"red-mountain-south","Red Mountain - South","Mesa ","Arizona","85207",18,3,33.4748092,-111.677858
"redline-disc-golf-course","Redline Disc Golf Course","Glendale ","Arizona","85303",18,,33.522699,-112.2358688
"ridge-line-apartments","Ridge Line Disc Golf Course","Flagstaff ","Arizona","86001",9,,35.202774,-111.6584777
"rillito-river-park-disc-golf-course","Rillito River Park Disc Golf Course","Tucson ","Arizona","85719",18,4,32.2980191,-111.006719
"riverfront-park-2","Riverfront Park","Cottonwood ","Arizona","86326",18,4,34.7516885,-112.0221098
"riverview-disc-golf-course-0","Riverview Disc Golf Course","Bullhead City ","Arizona","86442",9,3,35.062561,-114.5848312
"rumsey-park","Rumsey Park","Payson ","Arizona","85541",9,3,34.2446364,-111.3328745
"sam-lena-park","Sam Lena Park","Tucson ","Arizona","85713",6,4,32.1820557,-110.9270995
"santa-cruz-river-park","Santa Cruz River Park","Tucson ","Arizona","85745",18,3,32.2492046,-110.9966997
"sara-park-discgolfcourse","SARA Park Disc Golf Course","Lake Havasu City ","Arizona","86406",18,,34.4487296,-114.2677715
"school-house-gulch","School House Gulch","Prescott ","Arizona","86303",18,,34.4890116,-112.4434885
"sears-park","Sears Park","Tucson ","Arizona","85711",9,4,32.2199807,-110.8652912
"show-low-disc-golf-course","Show Low Disc Golf Course","Show Low ","Arizona","85901",18,5,34.2444068,-110.0593849
"skyline-ranch","Skyline Ranch","SanTan Valley ","Arizona","85142",9,4,33.1842199,-111.5751502
"sundance-park","Sundance Park","Buckeye ","Arizona","85326",18,5,33.420496,-112.542163
"sunrise-ski-resort","Sunrise Ski Resort","Fort Apache ","Arizona","85930",18,,33.9735753,-109.5639921
"sweetwater","Sweetwater","Phoenix ","Arizona","85729",18,3,33.6007924,-112.1385504
"tall-timbers-disc-golf-course","Tall Timbers Disc Golf Course","Heber/ Overgaard ","Arizona","85928",9,,34.3973111,-110.5615556
"boneyard","The Boneyard","Globe ","Arizona","85501",9,,33.3819818,-110.7728814
"lost-forrest","The Lost Forrest","Huachuca City ","Arizona","85616",9,,31.6278703,-110.3339678
"thorpe-park","Thorpe Park","Flagstaff ","Arizona","86001",18,2,35.2022853,-111.6593045
"thunderbird-paseo","Thunderbird-Paseo","Phoenix (Glendale) ","Arizona","85304",18,2,33.607486,-112.1835332
"tobin-brenard-disc-golf-course","Tobin Brenard Disc Golf Course","Quartzite ","Arizona","85346",9,,33.6639137,-114.2299486
"tortosa-disc-golf-course","Tortosa Disc Golf Course","Maricopa ","Arizona","85138",9,,33.0637466,-111.9579766
"vista-del-camino-park","Vista del Camino Park","Phoenix (Scottsdale) ","Arizona","85257",18,4,33.4589046,-111.9136439
"watson-lake","Watson Lake","Prescott ","Arizona","86301",18,4,34.5874676,-112.4179706
"wayne-ranch-disc-golf-course","Wayne Ranch Disc Golf Course","Queen Creek ","Arizona","85140",9,,33.2643561,-111.669271
"west-wetlands-park","West Wetlands Park","Yuma ","Arizona","85364",9,2,32.7296162,-114.6376607
"wilderness-ranch","Wilderness Ranch","Lakeside ","Arizona","85929",18,,34.2018521,-109.9146411
"willow-lake-disc-golf-course","Willow Lake Disc Golf Course","Prescott ","Arizona","86301",18,,34.5907443,-112.4221878
"wood-land","Wood Land","Pinetop-Lakeside ","Arizona","85929",18,4,34.1291408,-109.9739464
"alma-greens-disc-golf-course","Alma Flying Disc Golf Course","Alma ","Arkansas","72921",18,,35.4778653,-94.2218752
"alma-middle-school-disc-golf-course","Alma Middle School Disc Golf Course","Alma ","Arkansas","72921",9,,35.4896486,-94.2111104
"arkadelphia-youth-sports-complex","Arkadelphia Youth Sports Complex","Arkadelphia ","Arkansas","71923",18,4,34.1418183,-93.0777786
"arkansas-tech-university","Arkansas Tech University","Ozark ","Arkansas","72949",9,,35.49767200000001,-93.8421303
"asumh-disc-golf-course","ASUMH Disc Golf Course","Mountain Home ","Arkansas","72653",18,,36.3204181,-92.3885758
"avoca-disc-golf-course","Avoca Disc Golf Course","Avoca ","Arkansas","72711",9,,36.4043648,-94.07171190000001
"bear-trail-disc-golf-course","Bear Trail Disc Golf Course","Conway ","Arkansas","72035",3,3,35.2809467,-92.3202104
"beaverfork-disc-golf-course","Beaverfork Disc Golf Course","Conway ","Arkansas","73032",18,4,35.1390812,-92.4547791
"bell-park-disc-golf-course","Bell Park Disc Golf Course","Greenwood ","Arkansas","72936",18,,35.2271004,-94.26602659999999
"ben-geren-parks-massard-creek-dgc-white-course","Ben Geren Park - Massard Creek Disc Golf Course","Fort Smith ","Arkansas","72903",18,,35.3222776,-94.35442669999999
"ben-geren-park-north","Ben Geren Park - North Yellow","Fort Smith ","Arkansas","72916",18,4,35.3222776,-94.35442669999999
